sentence	label_text
Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .	positive
In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .	positive
Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .	positive
Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .	positive
Sales have risen in other export markets .	positive
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .	positive
The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .	positive
The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .	positive
Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .	positive
Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .	positive
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .	positive
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .	positive
In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .	neutral
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .	neutral
At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .	positive
KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .	positive
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .	neutral
The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .	positive
- So , the sales growth of cars considerably influence on the tires market '' .	neutral
Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .	neutral
Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .	neutral
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .	neutral
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .	positive
The fuel purchase contracts have been signed with three months ' delivery from this September to November .	neutral
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .	neutral
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .	positive
The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .	positive
No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .	neutral
The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .	positive
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .	positive
In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .	positive
Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .	positive
4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .	positive
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .	positive
Finnish Bank of +��land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .	positive
Net sales of Finnish food industry company L+��nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .	positive
An individual promotion also generated slightly higher-than-expected revenues .	positive
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .	positive
Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .	positive
Clothing chain Sepp+��l+�� 's net sales increased by 7.0 % to EUR 30.8 mn .	positive
Construction volumes meanwhile grow at a rate of 10-15 percent annually .	positive
However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .	positive
In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .	positive
In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .	positive
International sales rose by 59.8 % to EUR 1,244.4 mn .	positive
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .	positive
Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .	positive
Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .	positive
Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .	positive
Operating profit margin increased from 11.2 % to 11.7 % .	positive
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .	positive
Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .	positive
Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .	positive
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .	positive
Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .	positive
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .	positive
The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .	positive
The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .	positive
The Department Store Division reported an increase in sales of 4 per cent .	positive
`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .	positive
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .	positive
According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .	positive
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .	positive
Finnish Bank of +��land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .	positive
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .	positive
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .	positive
Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .	positive
Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .	positive
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .	positive
According to HKScan Finland , the plan is to increase J+��rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .	positive
Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .	positive
Again , the most significant sales increase of 18.6 % was in Russia .	positive
Alma Media expects its net sales to increase as forecast previously .	positive
Also Lemmink+��inen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .	positive
At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .	positive
Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .	neutral
Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .	positive
Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .	positive
Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .	positive
Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .	positive
Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .	positive
Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .	positive
Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .	positive
Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .	positive
Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .	positive
Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .	positive
comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .	positive
Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .	positive
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .	positive
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .	positive
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .	positive
Diluted EPS rose to EUR3 .68 from EUR0 .50 .	positive
EBIT margin was up from 1.4 % to 5.1 % .	positive
Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .	neutral
EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .	positive
Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .	positive
EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .	positive
Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .	positive
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .	positive
Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .	positive
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .	positive
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .	positive
For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .	positive
However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .	positive
Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .	positive
Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .	positive
In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .	positive
In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .	positive
In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .	positive
In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .	positive
Its market share widened to 48.51 percent from 48.31 percent a year earlier .	positive
Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .	positive
( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .	positive
( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .	positive
( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s	positive
Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .	positive
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .	positive
Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .	positive
Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .	positive
Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .	positive
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .	positive
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .	positive
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .	positive
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .	positive
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .	positive
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .	positive
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .	positive
Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .	positive
Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .	positive
Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .	positive
Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .	positive
Orders received grew by 55 % year-on-year to EUR732m .	positive
Orion Pharma 's operating profit increased by 42.5 % from 2004 .	positive
Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .	positive
Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .	positive
Previously the company has estimated its operating profit to reach the level of 2005 only .	positive
Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .	positive
Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .	positive
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .	positive
Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .	positive
Sales of clothing developed best .	positive
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .	positive
Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .	positive
Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .	positive
That would be an increase from estimated sales of 117 million last year .	positive
The agreement expands Tekla Structures ' scope of use to bridge design .	positive
The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year .	positive
The company expects its net sales in the first half of 2008 to reach the previous year 's level .	positive
The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .	positive
The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .	positive
The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .	positive
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .	positive
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .	positive
The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .	positive
The transactions would increase earnings per share in the first quarter by some EUR0 .28 .	positive
There has been some recovery of the base metals prices and increased demand for metals in China , however .	positive
This new representation extends Comptel 's global presence to a total of 18 countries , serving over 250 customers in over 80 countries worldwide .	positive
TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .	positive
Total operating revenue grew by 27.6 % year-on-year to EUR61m .	positive
Vacon will supply drives to Ruselprom in the power range from 200 kW up to 2 MW .	neutral
We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .	positive
Via the Satlan acquisition , Teleste plans to further expand its market presence as a video services partner for cable operators , broadcasters and IPTV service providers .	positive
With the acquisition , the company will expand its offering to North , Central and South America , it said .	positive
With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .	positive
Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .	neutral
Finnish Larox has signed a contract with the Talvivaara Project for the delivery of filters to the Talvivaara nickel mine in Sotkamo , in Finland .	positive
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .	positive
Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .	positive
Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .	positive
Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .	positive
Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .	positive
Exports grew 16.5 percent to 19.1 million liters .	positive
Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .	positive
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 .	positive
Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .	positive
GeoSentric Oyj s GeoSolutions Business Unit GyPSii , the mobile digital lifestyle application and geo-mobility social networking platform , has signed an agreement with Nanjing MyNet to make the GyPSii mobile social networking platform available to customers of China Mobile .	positive
HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .	positive
In addition to the demand in Finland , the export of lining stone products also increased .	positive
In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .	positive
In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .	positive
In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million .	positive
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .	positive
Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .	positive
Marimekko Group 's full-year net sales are estimated to increase by about 10 % .	positive
Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .	positive
October-December sales were 302 mln eur , or a 25.3 pct increase year on year .	positive
Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .	positive
Olvi expects sales and market share to increase in the first quarter of 2010 .	positive
Olvi 's target is to strengthen its market share in soft drinks , mineral waters , ciders , long drinks , and energy drinks .	neutral
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .	positive
Operating profit of the Asian plants grew markedly .	positive
Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .	positive
Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .	positive
Profit per share was EUR 1.03 , up from EUR 0.87 .	positive
Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .	positive
Sales in Finland rose by 3.9 % and international growth was 0.7 % .	positive
Sales of security and system packaging increased slightly .	positive
Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .	positive
The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 .	positive
The company is now intensifying its smelter operations and increasing its annual production capacity to 230,000 tonnes of copper .	positive
The company 's market share is continued to increase further .	positive
The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .	positive
The company said that its investments in the new market areas resulted in sales increase in Sweden , Poland , Russia and Lithuania .	positive
The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .	positive
The group 's 12-month operating profit grew 31 percent to 337.8 million euros .	positive
The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .	positive
The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .	positive
The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .	positive
This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .	positive
The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .	positive
The Finnish company Stockmann has signed the contract with the company Technopolis .	neutral
According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .	neutral
The agreement with JM is one in a series of contracts that TeliaSonera has signed in recent months with residential construction and real estate management companies in Sweden .	neutral
The company intends to raise production capacity in 2006 .	positive
The estimated value of the contract is EUR12 .4 m. Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .	neutral
The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .	neutral
` This order is included in Wartsila 's order book in the second quarter , ' the company added .	neutral
`` Management decided at the end of 2005 to increase cathode copper capacity .	neutral
4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. .	neutral
ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .	neutral
Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % .	negative
Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .	negative
Deliveries are to start later in 2010 , and the volume will increase in the years 2011-2012 .	neutral
Finnish heat-retaining fireplaces maker Tulikivi Oyj said on August 29 , 2007 that its local tiled stoves and utility ceramics subsidiary Kermansavi Oy will merge into Tulikivi by means of absorption in order to streamline the latest 's corporate structure .	neutral
German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger .	neutral
In April 2005 , Neste separated from its parent company , Finnish energy company Fortum , and became listed on the Helsinki Stock Exchange .	neutral
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .	neutral
It has80 branches in Finland with annual revenue in Finland of ?	neutral
